Wavlength (nm)	Coastal blue	Blue 475	green 531	Green 560	Red 650	Red 668	RedEdge 705	RedEdge 717	RedEdge 740	NIR
645	8.9007E-63	1.03881E-34	1.44369E-80	1.60749E-12	0.762799075	0.000562477	4.48416E-44	4.48416E-44	2.87947E-34	4.89573E-15
646	2.14028E-63	4.12624E-35	5.65742E-82	8.42078E-13	0.840896415	0.001063068	1.21502E-42	7.03783E-43	1.45116E-33	6.84066E-15
647	5.11026E-64	1.63013E-35	2.15515E-83	4.37777E-13	0.907126088	0.001953125	3.11461E-41	1.06285E-41	7.18929E-33	9.54194E-15
648	1.21156E-64	6.40525E-36	7.98084E-85	2.25865E-13	0.957603281	0.003488288	7.55339E-40	1.54448E-40	3.50125E-32	1.32872E-14
649	2.85217E-65	2.50322E-36	2.87299E-86	1.15649E-13	0.989228013	0.006056303	1.733E-38	2.15958E-39	1.67621E-31	1.8471E-14
650	6.66706E-66	9.72996E-37	1.00538E-87	5.87669E-14	1	0.010221531	3.76158E-37	2.90557E-38	7.88861E-31	2.56334E-14
651	1.54747E-66	3.76158E-37	3.42013E-89	2.9636E-14	0.989228013	0.016770166	7.72434E-36	3.76158E-37	3.64955E-30	3.55124E-14
652	3.56645E-67	1.44637E-37	1.13101E-90	1.48321E-14	0.957603281	0.026746802	1.50062E-34	4.68582E-36	1.65976E-29	4.91148E-14
653	8.16168E-68	5.53139E-38	3.63582E-92	7.36685E-15	0.907126088	0.041468603	2.75801E-33	5.61663E-35	7.42026E-29	6.78117E-14
654	1.8546E-68	2.10397E-38	1.1362E-93	3.63126E-15	0.840896415	0.0625	4.79556E-32	6.47803E-34	3.26107E-28	9.34662E-14
655	4.18457E-69	7.9596E-39	3.45156E-95	1.77636E-15	0.762799075	0.0915701	7.88861E-31	7.18929E-33	1.40886E-27	1.28607E-13
656	9.37517E-70	2.99497E-39	1.01928E-96	8.62381E-16	0.677127773	0.130418866	1.22766E-29	7.67724E-32	5.98333E-27	1.76657E-13
657	2.08562E-70	1.12083E-39	2.92605E-98	4.15494E-16	0.588198496	0.180567762	1.80749E-28	7.88861E-31	2.49796E-26	2.42247E-13
658	4.60702E-71	4.17194E-40	8.1655E-100	1.98667E-16	0.5	0.243026185	2.51762E-27	7.79959E-30	1.02517E-25	3.31622E-13
659	1.01049E-71	1.54448E-40	2.2151E-101	9.42726E-17	0.415919145	0.317964758	3.31758E-26	7.42026E-29	4.1359E-25	4.53198E-13
660	2.20077E-72	5.68691E-41	5.8415E-103	4.43956E-17	0.338563887	0.404406349	4.1359E-25	6.79271E-28	1.64026E-24	6.18288E-13
661	4.75931E-73	2.08266E-41	1.4975E-104	2.07488E-17	0.269690199	0.5	4.87795E-24	5.98333E-27	6.39477E-24	8.42078E-13
662	1.02198E-73	7.58592E-42	3.7318E-106	9.62366E-18	0.210224104	0.600945525	5.44279E-23	5.07129E-26	2.45077E-23	1.14491E-12
663	2.17905E-74	2.74819E-42	9.0405E-108	4.42981E-18	0.160358752	0.702123109	5.74544E-22	4.1359E-25	9.2331E-23	1.554E-12
664	4.6134E-75	9.90222E-43	2.129E-109	2.02361E-18	0.11970041	0.797451889	5.73777E-21	3.24563E-24	3.41948E-22	2.10567E-12
665	9.69849E-76	3.54868E-43	4.8738E-111	9.1741E-19	0.08743623	0.880458268	5.42101E-20	2.45077E-23	1.24491E-21	2.84831E-12
666	2.02449E-76	1.26488E-43	1.0846E-112	4.1276E-19	0.0625	0.944987628	4.84546E-19	1.78067E-22	4.45539E-21	3.8463E-12
667	4.19618E-77	4.48416E-44	2.3463E-114	1.84301E-19	0.043718115	0.985953722	4.09739E-18	1.24491E-21	1.56747E-20	5.1851E-12
668	8.63617E-78	1.5811E-44	4.9343E-116	8.16687E-20	0.029925103	1	3.27791E-17	8.37475E-21	5.42101E-20	6.97799E-12
669	1.76489E-78	5.54481E-45	1.0087E-117	3.59153E-20	0.020044844	0.985953722	2.48088E-16	5.42101E-20	1.84301E-19	9.3748E-12
