Sample,Letter,mean_STD,Wavelength,mean_RAW,dataset_Name,ID
1,Field,0.0017985421142531865,400,0.01242668945052424,BEL,BEL_1_Field
1,Field,0.0017476819182634551,401,0.01241989177722364,BEL,BEL_1_Field
1,Field,9.763591635528981e-4,402,0.01231680133500631,BEL,BEL_1_Field
1,Field,0.0011257307683931479,403,0.01233676546118261,BEL,BEL_1_Field
1,Field,0.0010794420797423775,404,0.01233057878854327,BEL,BEL_1_Field
1,Field,4.287815482826443e-4,405,0.01224361534618156,BEL,BEL_1_Field
1,Field,0.0039629602447237506,406,0.01271597278989253,BEL,BEL_1_Field
1,Field,0.008354180978812867,407,0.01330287740872623,BEL,BEL_1_Field
1,Field,0.005325209736021981,408,0.01289804300837191,BEL,BEL_1_Field
1,Field,0.003041724656569099,409,0.01259284588408143,BEL,BEL_1_Field
1,Field,0.003496140438446838,410,0.0126535804126795,BEL,BEL_1_Field
1,Field,0.002862193641731397,411,0.01256885082935458,BEL,BEL_1_Field
1,Field,0.001909174111408095,412,0.012441475869621089,BEL,BEL_1_Field
1,Field,0.001586791214525784,413,0.01239838807634657,BEL,BEL_1_Field
1,Field,0.0028874513152769956,414,0.01257222662077172,BEL,BEL_1_Field
1,Field,0.0049153297162856545,415,0.01284326086661269,BEL,BEL_1_Field
1,Field,0.004816258838329724,416,0.01283001963840185,BEL,BEL_1_Field
1,Field,0.005321925449733002,417,0.012897604050070951,BEL,BEL_1_Field
1,Field,0.00699507224610993,418,0.01312122696548427,BEL,BEL_1_Field
1,Field,0.0054318721702360726,419,0.012912298879139309,BEL,BEL_1_Field
1,Field,0.0034674545801698714,420,0.01264974643034578,BEL,BEL_1_Field
1,Field,0.005393257057981782,421,0.012907137811383619,BEL,BEL_1_Field
1,Field,0.003975950818003608,422,0.0127177090331654,BEL,BEL_1_Field
1,Field,0,423,0.01218630693779203,BEL,BEL_1_Field
1,Field,0.0024782351675299093,424,0.012517533208220251,BEL,BEL_1_Field
1,Field,0.0053449347360352804,425,0.01290067933533321,BEL,BEL_1_Field
1,Field,0.004710020169797344,426,0.01281582040565175,BEL,BEL_1_Field
1,Field,0.0044626636784278716,427,0.01278276019846238,BEL,BEL_1_Field
1,Field,0.004814076417881323,428,0.01282972794897903,BEL,BEL_1_Field
1,Field,0.00508090618445252,429,0.01286539083907864,BEL,BEL_1_Field
1,Field,0.005400175453179268,430,0.01290806248321002,BEL,BEL_1_Field
1,Field,0.005824527805993339,431,0.01296477891150207,BEL,BEL_1_Field
1,Field,0.006608908720897953,432,0.0130696146302599,BEL,BEL_1_Field
1,Field,0.006999235151594652,433,0.01312178335483582,BEL,BEL_1_Field
1,Field,0.006433185813619202,434,0.01304612854469008,BEL,BEL_1_Field
1,Field,0.006284913734417633,435,0.013026311374614359,BEL,BEL_1_Field
1,Field,0.006522382292105184,436,0.01305805001900831,BEL,BEL_1_Field
1,Field,0.006228602272517168,437,0.01301878511731964,BEL,BEL_1_Field
1,Field,0.006922010319906007,438,0.01311146194009689,BEL,BEL_1_Field
1,Field,0.0086805107122282215,439,0.01334649271285281,BEL,BEL_1_Field
1,Field,0.00801256064611715,440,0.01325721845344071,BEL,BEL_1_Field
1,Field,0.006872458140026866,441,0.013104839088501529,BEL,BEL_1_Field
1,Field,0.008111271884566833,442,0.01327041161435999,BEL,BEL_1_Field
1,Field,0.00909801054641932,443,0.013402293273992191,BEL,BEL_1_Field
1,Field,0.009294869965839173,444,0.01342860434089473,BEL,BEL_1_Field
1,Field,0.009064430491696982,445,0.01339780516227778,BEL,BEL_1_Field
1,Field,0.009040587790410233,446,0.01339461848769273,BEL,BEL_1_Field
1,Field,0.009643976577685145,447,0.01347526386802057,BEL,BEL_1_Field
1,Field,0.010614331091779467,448,0.01360495571926526,BEL,BEL_1_Field
1,Field,0.01167650186199678,449,0.01374691918882881,BEL,BEL_1_Field
1,Field,0.012539122273770862,450,0.01386221193647873,BEL,BEL_1_Field
1,Field,0.012150757387372367,451,0.01381030538032439,BEL,BEL_1_Field
1,Field,0.010859524456084279,452,0.01363772681567149,BEL,BEL_1_Field
1,Field,0.01194140065994969,453,0.01378232399707157,BEL,BEL_1_Field
1,Field,0.013517000065488394,454,0.013992909304561041,BEL,BEL_1_Field
1,Field,0.013613815356145786,455,0.01400584906430016,BEL,BEL_1_Field
1,Field,0.013034369083507634,456,0.01392840369902001,BEL,BEL_1_Field
1,Field,0.012665874309177585,457,0.0138791528646469,BEL,BEL_1_Field
1,Field,0.014761397370839835,458,0.01415922809616842,BEL,BEL_1_Field
1,Field,0.01545404821262745,459,0.01425180371531878,BEL,BEL_1_Field
1,Field,0.013506315220776312,460,0.013991481231345691,BEL,BEL_1_Field
1,Field,0.013096244261146122,461,0.01393667356968838,BEL,BEL_1_Field
1,Field,0.01391400743030803,462,0.01404597096331912,BEL,BEL_1_Field
1,Field,0.014924195192419361,463,0.01418098669114848,BEL,BEL_1_Field
1,Field,0.015499741064247532,464,0.01425791075190096,BEL,BEL_1_Field
1,Field,0.01526650429943641,465,0.01422673770394033,BEL,BEL_1_Field
1,Field,0.013699431987956145,466,0.0140172920774624,BEL,BEL_1_Field
1,Field,0.01270366273803862,467,0.01388420344278451,BEL,BEL_1_Field
1,Field,0.013617763291127126,468,0.01400637672196433,BEL,BEL_1_Field
1,Field,0.015320983260404765,469,0.01423401903998736,BEL,BEL_1_Field
1,Field,0.016694843453910663,470,0.01441764107632474,BEL,BEL_1_Field
1,Field,0.01582625554946351,471,0.01430155074886165,BEL,BEL_1_Field
1,Field,0.015652455762946643,472,0.01427832169625056,BEL,BEL_1_Field
1,Field,0.016766192404358334,473,0.01442717715549325,BEL,BEL_1_Field
1,Field,0.016707609172592515,474,0.01441934726686054,BEL,BEL_1_Field
1,Field,0.016330143448363862,475,0.01436889742832671,BEL,BEL_1_Field
1,Field,0.016678326660063192,476,0.01441543353924464,BEL,BEL_1_Field
1,Field,0.018780996824962693,477,0.01469646401035789,BEL,BEL_1_Field
1,Field,0.02111578510318868,478,0.01500851801708362,BEL,BEL_1_Field
1,Field,0.018730963848918075,479,0.01468977689838772,BEL,BEL_1_Field
1,Field,0.01703113475815525,480,0.01446258778515278,BEL,BEL_1_Field
1,Field,0.018120065637207496,481,0.01460812785275746,BEL,BEL_1_Field
1,Field,0.016114540442714625,482,0.014340081204430779,BEL,BEL_1_Field
1,Field,0.014344770480469948,483,0.0141035442075426,BEL,BEL_1_Field
1,Field,0.01926489890020076,484,0.01476113950271374,BEL,BEL_1_Field
1,Field,0.020341466933730585,485,0.01490502722542883,BEL,BEL_1_Field
1,Field,0.016229769773350344,486,0.01435548207595842,BEL,BEL_1_Field
1,Field,0.015043046178716997,487,0.0141968716117742,BEL,BEL_1_Field
1,Field,0.016134547333625616,488,0.014342755207263979,BEL,BEL_1_Field
1,Field,0.01843417418701735,489,0.01465010974568929,BEL,BEL_1_Field
1,Field,0.01778641570976313,490,0.01456353417474659,BEL,BEL_1_Field
1,Field,0.015674901556657555,491,0.01428132166842232,BEL,BEL_1_Field
1,Field,0.017451130899119455,492,0.01451872198790662,BEL,BEL_1_Field
1,Field,0.01798630569130686,493,0.01459025028867725,BEL,BEL_1_Field
